nome,arquitetura,ativacao,learning_rate,epochs,batch_size,train_loss_final,train_accuracy_final,val_loss_final,val_accuracy_final,test_loss,test_accuracy,tempo_segundos
baseline_128_64_lr_01,"[784, 128, 64, 10]",relu,0.1,10,64,0.03292426321711115,0.9904691496163683,0.07907492182860242,0.9777,0.08188659501214013,0.9757,28.948157787322998
maior_256_128_lr_01,"[784, 256, 128, 10]",relu,0.1,10,64,0.022921702482218413,0.9942455242966752,0.07364134919235057,0.9773,0.07511380342619244,0.9767,53.569841384887695
baseline_128_64_lr_005,"[784, 128, 64, 10]",relu,0.05,10,64,0.060301962364563866,0.9819972826086957,0.08677183589011697,0.9739,0.0885667878564081,0.9712,29.100053787231445
