epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.35978106263945997,0.8929028132992327,0.18821588414375845,0.9462
2,0.1677910173564274,0.9504675511508951,0.2211299192118215,0.9241
3,0.12224338882611387,0.9635749680306905,0.13693550585478065,0.9572
4,0.09596753918167518,0.9709279092071611,0.1008911253763054,0.9698
5,0.07754893471121664,0.9766624040920716,0.20241787926491525,0.9355
6,0.06589439815727491,0.9798593350383632,0.08859812351735376,0.9736
7,0.05375668033608937,0.9839753836317136,0.08288223954505328,0.975
8,0.045669825198555745,0.9867327365728901,0.08237092836933672,0.9761
9,0.039952596189206324,0.9878516624040921,0.07456865368499066,0.9785
10,0.03292426321711115,0.9904691496163683,0.07907492182860242,0.9777
